Month,<2.5kW,2.5–4.5,4.5–6.5,6.5–9.5,9.5–14,14–25,25–50,50–100,100kW–5MW,5MW–30MW,30+ MW
2007-01,96,33,5,0,10,20,0,0,0,0,0
2007-02,132,26,10,15,0,0,0,0,0,0,0
2007-03,156,26,15,22,11,0,0,0,0,0,0
2007-04,123,38,16,20,11,0,0,0,0,0,0
2007-05,113,24,31,0,0,0,0,0,0,0,0
2007-06,195,70,21,15,0,0,0,0,0,0,0
2007-07,337,65,10,9,0,38,0,0,0,0,0
2007-08,417,114,27,0,11,0,0,0,0,0,0
2007-09,462,149,26,8,26,0,0,0,0,0,0
2007-10,602,190,42,30,10,36,0,0,0,0,0
2007-11,606,142,48,0,10,0,32,0,0,0,0
2007-12,584,178,43,39,58,31,0,64,0,0,0
2008-01,616,159,20,0,0,0,0,99,0,0,0
2008-02,745,164,31,22,0,0,0,0,0,0,0
2008-03,766,134,38,30,0,0,0,0,0,0,0
2008-04,997,175,64,44,12,0,36,0,0,0,0
2008-05,1179,236,37,23,11,0,0,0,0,0,0
2008-06,1022,171,49,9,47,15,0,0,0,0,0
2008-07,1221,227,80,16,34,49,0,0,0,0,0
2008-08,1286,212,57,22,11,17,0,0,0,0,0
2008-09,1439,206,136,90,10,0,0,0,0,0,0
2008-10,1992,324,100,17,10,16,30,0,0,0,0
2008-11,1995,276,62,8,22,34,0,0,0,0,0
2008-12,2314,380,122,32,48,20,58,0,0,0,0
2009-01,2398,227,66,15,10,16,0,0,0,0,0
2009-02,3291,302,94,23,0,43,0,0,0,0,0
2009-03,3985,381,114,9,10,15,0,100,0,0,0
2009-04,3804,380,181,35,48,23,0,0,0,0,0
2009-05,4529,435,168,48,30,14,56,0,0,0,0
2009-06,4802,377,149,16,33,87,0,0,0,0,0
2009-07,5622,491,244,45,32,40,34,0,0,0,0
2009-08,6205,686,186,60,96,32,71,0,0,0,0
2009-09,7106,858,312,33,130,103,129,0,0,0,0
2009-10,9018,1065,426,53,43,59,57,0,0,0,0
2009-11,10665,1314,522,89,98,61,0,0,0,0,0
2009-12,9477,1503,524,113,138,40,116,51,0,0,0
2010-01,9896,1327,467,77,166,0,64,0,0,0,0
2010-02,12151,2371,697,183,297,100,0,0,0,0,0
2010-03,16235,3305,1075,260,516,153,182,67,0,0,0
2010-04,16753,4030,1185,235,530,135,29,0,0,0,0
2010-05,21193,4927,1278,368,812,67,85,159,0,0,0
2010-06,23016,6213,2084,512,1670,114,249,200,0,0,0
2010-07,21644,7685,2634,610,1636,125,290,0,0,0,0
2010-08,22739,8449,2946,748,1838,185,323,120,0,0,0
2010-09,24650,9801,3392,726,2181,241,266,228,0,0,0
2010-10,27595,10843,3741,944,1984,152,218,144,0,0,0
2010-11,32142,13550,4528,768,2340,438,576,507,0,0,0
2010-12,23659,10651,3263,686,2096,243,309,227,0,0,0
2011-01,31779,15642,5290,941,3644,264,419,205,0,0,0
2011-02,36259,17213,5618,1178,3321,409,273,389,0,0,0
2011-03,44150,21595,7426,1057,5072,375,522,0,0,0,0
2011-04,40941,20671,6959,1196,5117,554,479,148,0,0,0
2011-05,61033,34431,11233,1517,5402,697,1125,636,0,0,0
2011-06,79830,53728,20536,2344,5513,2044,1925,1517,0,0,0
2011-07,24591,19135,6894,647,1590,667,583,110,0,0,0
2011-08,22185,22485,8765,564,1464,457,772,0,0,0,0
2011-09,22677,27479,13131,892,1466,574,1080,56,100,0,0
2011-10,16246,16600,7521,843,1504,452,916,0,0,0,0
2011-11,16809,17822,9184,921,2392,355,977,51,0,0,0
2011-12,13713,14380,8275,864,1061,584,988,50,0,0,0
2012-01,12700,12289,7067,559,1004,203,606,206,0,0,0
2012-02,19590,17677,10389,835,1266,429,771,121,0,0,0
2012-03,23354,21207,14024,1098,1503,459,688,99,0,0,0
2012-04,26052,24459,17120,990,1432,754,602,116,0,0,0
2012-05,39696,43660,31537,2255,2256,1052,1365,317,0,0,0
2012-06,47999,65076,53599,3657,5061,1785,1460,417,0,0,0
2012-07,19752,30133,24026,1258,1530,1247,886,116,0,0,0
2012-08,19598,32933,30434,1919,1658,832,828,206,0,0,0
2012-09,17498,34652,35770,2290,2366,1735,1311,263,0,0,0
2012-10,15649,26168,25334,1733,1547,1225,710,592,200,0,0
2012-11,15307,26019,26085,1898,1755,1065,1279,411,100,0,0
2012-12,18356,36930,39432,3625,3842,1841,1709,644,0,0,0
2013-01,9500,17951,17915,1437,1947,1131,1047,811,0,0,0
2013-02,8884,18802,20337,1827,2232,1717,1169,936,200,0,0
2013-03,8565,19190,23565,2129,2207,1758,1753,1376,100,0,0
2013-04,8450,19225,26788,1862,2836,1262,1481,1102,300,0,0
2013-05,8953,22152,37119,2474,2847,2163,2278,1433,0,0,0
2013-06,8752,24435,45443,2769,3553,2339,2949,1197,200,0,0
2013-07,7930,19854,25644,2216,3123,1989,2165,1436,200,0,0
2013-08,6401,18010,23459,2774,3460,1818,2236,1071,300,0,0
2013-09,5825,18082,24986,2848,4193,2124,2184,1694,500,0,0
2013-10,6534,21567,29422,3556,4348,2355,2975,1771,400,0,0
2013-11,6697,19557,30038,3434,4673,2313,2625,1670,400,0,0
2013-12,5005,15952,24884,3024,3923,2611,3719,2033,700,0,0
2014-01,5238,15860,24471,3062,4347,2693,3867,1525,528,0,0
2014-02,5746,17005,25070,1939,2498,1729,2280,1366,939,0,0
2014-03,5192,18026,25872,1873,2553,2058,2765,3446,900,0,0
2014-04,4778,16934,25675,1670,2354,1590,2124,1424,5260,0,0
2014-05,5363,20193,30807,2283,3262,2429,3056,3788,2659,20000,0
2014-06,4865,17454,28076,2055,2550,2450,3718,2957,969,0,0
2014-07,5575,20298,30330,2331,2925,2926,4302,3060,1678,0,0
2014-08,5255,18351,26864,2475,3052,2735,3866,3541,1084,0,0
2014-09,6038,20166,30558,2882,3212,2747,4018,2732,862,0,0
2014-10,5642,21335,30858,2791,3499,3423,4001,3343,1033,0,0
2014-11,4316,18002,26868,2805,3048,2244,4414,3695,1897,0,0
2014-12,3763,17538,25752,2863,3057,3015,4301,4236,1500,0,0
2015-01,3568,14705,21721,2021,2229,2235,2779,3768,688,0,0
2015-02,3790,15659,25450,2626,3048,2908,3805,3837,725,0,0
2015-03,3860,15900,26255,2917,2883,2993,3348,3935,1687,0,102000
2015-04,3235,13332,22181,2414,2641,2843,2861,1968,2371,0,0
2015-05,3396,13390,23781,2805,3029,2841,3808,3800,3055,0,0
2015-06,3179,13444,25319,2872,3142,3718,4133,3598,1000,0,0
2015-07,3489,14365,29753,3197,3602,3400,4080,3472,1250,0,53000
2015-08,2766,13255,26901,2809,2883,2688,3999,3697,1016,0,0
2015-09,2860,13209,27282,2959,2981,3351,3356,3612,2806,0,0
2015-10,2772,12779,26847,2965,2903,2604,4267,5043,2071,0,0
2015-11,2599,12911,25377,3085,3239,3055,4246,3120,5895,0,0
