instal type,SED name,SED state,Capacity,capacity Commercial,capacity Power Station,capacity Residential,Density,Dwellings,instals Power Station,number of instals
instals Residential,Melton (Western Victoria),VIC,80472,7794,1520,71158,33.1,40971,3,13572
instals Commercial,Mermaid Beach,QLD,55176,10398,449,44329,48.2,17493,2,437
instals Residential,Mermaid Beach,QLD,55176,10398,449,44329,48.2,17493,2,8425
instals Commercial,Midland (East Metropolitan),WA,62671,7968,949,53754,50.2,21958,3,261
instals Residential,Midland (East Metropolitan),WA,62671,7968,949,53754,50.2,21958,3,11026
instals Commercial,Mildura (Northern Victoria),VIC,814536,37019,722095,55422,33.1,29573,28,1159
instals Residential,Mildura (Northern Victoria),VIC,814536,37019,722095,55422,33.1,29573,28,9789
instals Commercial,Mill Park (Northern Metropolitan),VIC,49725,6619,961,42145,30.8,26836,5,197
instals Residential,Mill Park (Northern Metropolitan),VIC,49725,6619,961,42145,30.8,26836,5,8257
instals Commercial,Miller,QLD,50719,7895,5607,37217,42.4,16579,7,313
instals Residential,Miller,QLD,50719,7895,5607,37217,42.4,16579,7,7036
instals Commercial,Miranda,NSW,46992,6198,690,40104,27,24030,2,276
instals Residential,Miranda,NSW,46992,6198,690,40104,27,24030,2,6488
instals Commercial,Mirani,QLD,66652,10931,146,55575,45.7,21702,1,377
instals Residential,Mirani,QLD,66652,10931,146,55575,45.7,21702,1,9912
instals Commercial,Mirrabooka (East Metropolitan),WA,27954,1407,0,26547,32,19197,0,40
instals Residential,Mirrabooka (East Metropolitan),WA,27954,1407,0,26547,32,19197,0,6144
instals Commercial,Moggill,QLD,76325,11196,0,65129,62.5,18459,0,601
instals Residential,Moggill,QLD,76325,11196,0,65129,62.5,18459,0,11532
instals Commercial,Monaro,NSW,99426,21430,626,77370,36.8,34116,3,900
instals Residential,Monaro,NSW,99426,21430,626,77370,36.8,34116,3,12566
instals Commercial,Monbulk (Eastern Victoria),VIC,37194,6788,0,30406,26.9,22295,0,248
instals Residential,Monbulk (Eastern Victoria),VIC,37194,6788,0,30406,26.9,22295,0,6006
instals Commercial,Moore (Agricultural),WA,87126,13762,26044,47320,44.7,21690,6,433
instals Residential,Moore (Agricultural),WA,87126,13762,26044,47320,44.7,21690,6,9695
instals Commercial,Morayfield,QLD,82598,11205,1455,69938,53.7,24873,4,449
instals Residential,Morayfield,QLD,82598,11205,1455,69938,53.7,24873,4,13366
instals Commercial,Mordialloc (South-Eastern Metropolitan),VIC,43211,11156,2746,29309,25.7,22624,9,300
instals Residential,Mordialloc (South-Eastern Metropolitan),VIC,43211,11156,2746,29309,25.7,22624,9,5805
instals Commercial,Morialta,SA,54686,12359,199,42128,55.8,14211,1,532
instals Residential,Morialta,SA,54686,12359,199,42128,55.8,14211,1,7934
instals Commercial,Morley (East Metropolitan),WA,30214,2745,0,27469,33.7,17895,0,73
instals Residential,Morley (East Metropolitan),WA,30214,2745,0,27469,33.7,17895,0,6029
instals Commercial,Mornington (Eastern Victoria),VIC,51040,8682,0,42358,30.1,27090,0,370
instals Residential,Mornington (Eastern Victoria),VIC,51040,8682,0,42358,30.1,27090,0,8167
instals Commercial,Morphett,SA,41265,7208,854,33203,43.1,15292,3,288
instals Residential,Morphett,SA,41265,7208,854,33203,43.1,15292,3,6592
instals Commercial,Morwell (Eastern Victoria),VIC,61991,14657,3423,43911,31.1,29137,10,466
instals Residential,Morwell (Eastern Victoria),VIC,61991,14657,3423,43911,31.1,29137,10,9050
instals Commercial,Mount Druitt,NSW,81916,17744,3121,61051,38.1,29439,10,455
instals Residential,Mount Druitt,NSW,81916,17744,3121,61051,38.1,29439,10,11230
instals Commercial,Mount Gambier,SA,37816,9786,1201,26829,32.1,15515,3,338
instals Residential,Mount Gambier,SA,37816,9786,1201,26829,32.1,15515,3,4985
instals Commercial,Mount Lawley (East Metropolitan),WA,29871,2422,342,27107,33.5,16343,2,92
instals Residential,Mount Lawley (East Metropolitan),WA,29871,2422,342,27107,33.5,16343,2,5468
instals Commercial,Mount Ommaney,QLD,72837,17555,1258,54024,58.4,18451,4,497
instals Residential,Mount Ommaney,QLD,72837,17555,1258,54024,58.4,18451,4,10772
instals Commercial,Mount Waverley (Eastern Metropolitan),VIC,35989,3955,465,31569,29.9,21096,2,153
instals Residential,Mount Waverley (Eastern Metropolitan),VIC,35989,3955,465,31569,29.9,21096,2,6302
instals Commercial,Mudgeeraba,QLD,81672,11888,7525,62259,57.7,20183,4,545
instals Residential,Mudgeeraba,QLD,81672,11888,7525,62259,57.7,20183,4,11650
instals Commercial,Mulgoa,NSW,130294,25340,31405,73549,41.5,29192,44,926
instals Residential,Mulgoa,NSW,130294,25340,31405,73549,41.5,29192,44,12101
instals Commercial,Mulgrave,QLD,72881,11611,1149,60121,48.5,20568,5,430
instals Residential,Mulgrave,QLD,72881,11611,1149,60121,48.5,20568,5,9973
instals Commercial,Mulgrave (South-Eastern Metropolitan),VIC,40945,8942,1957,30046,26.8,22776,8,239
instals Residential,Mulgrave (South-Eastern Metropolitan),VIC,40945,8942,1957,30046,26.8,22776,8,6100
instals Commercial,Mundingburra,QLD,216285,11825,153563,50897,49,19128,8,391
instals Residential,Mundingburra,QLD,216285,11825,153563,50897,49,19128,8,9381
instals Commercial,Murray,NSW,1632401,57302,1490889,84210,38.9,37343,45,2060
instals Residential,Murray,NSW,1632401,57302,1490889,84210,38.9,37343,45,14515
instals Commercial,Murray Plains (Northern Victoria),VIC,231436,34974,135371,61091,38.8,30732,19,1129
instals Residential,Murray Plains (Northern Victoria),VIC,231436,34974,135371,61091,38.8,30732,19,11931
instals Commercial,Murray-Wellington (South West),WA,61524,6731,2265,52528,57.8,19714,6,226
instals Residential,Murray-Wellington (South West),WA,61524,6731,2265,52528,57.8,19714,6,11391
instals Commercial,Murrumba,QLD,66865,5442,790,60633,44.8,26418,3,219
instals Residential,Murrumba,QLD,66865,5442,790,60633,44.8,26418,3,11843
instals Commercial,Murrumbidgee,ACT,104491,13743,13970,76778,36.6,33167,5,649
instals Residential,Murrumbidgee,ACT,104491,13743,13970,76778,36.6,33167,5,12145
instals Commercial,Myall Lakes,NSW,90770,12956,1066,76748,43.8,34872,4,483
instals Residential,Myall Lakes,NSW,90770,12956,1066,76748,43.8,34872,4,15276
instals Commercial,Namatjira,NT,7778,1646,4184,1948,7.9,4148,10,50
instals Residential,Namatjira,NT,7778,1646,4184,1948,7.9,4148,10,329
instals Commercial,Nanango,QLD,89251,16173,509,72569,53.9,27098,2,644
instals Residential,Nanango,QLD,89251,16173,509,72569,53.9,27098,2,14617
instals Commercial,Narracan (Eastern Victoria),VIC,78205,17253,3318,57634,33.5,34916,8,572
instals Residential,Narracan (Eastern Victoria),VIC,78205,17253,3318,57634,33.5,34916,8,11706
instals Commercial,Narre Warren North (South-Eastern Metropolitan),VIC,60532,9468,3694,47370,39.5,23886,5,317
instals Residential,Narre Warren North (South-Eastern Metropolitan),VIC,60532,9468,3694,47370,39.5,23886,5,9444
instals Commercial,Narre Warren South (South-Eastern Metropolitan),VIC,57216,4249,0,52967,39.3,27575,0,147
instals Residential,Narre Warren South (South-Eastern Metropolitan),VIC,57216,4249,0,52967,39.3,27575,0,10849
instals Commercial,Narungga,SA,109487,13510,33263,62714,52.3,24823,13,510
instals Residential,Narungga,SA,109487,13510,33263,62714,52.3,24823,13,12978
instals Commercial,Nedlands (North Metropolitan),WA,32281,5515,1168,25598,36.7,13218,6,199
instals Residential,Nedlands (North Metropolitan),WA,32281,5515,1168,25598,36.7,13218,6,4845
instals Commercial,Nelson,NT,23697,3905,11363,8429,33.8,3716,3,97
instals Residential,Nelson,NT,23697,3905,11363,8429,33.8,3716,3,1255
instals Commercial,Nepean (Eastern Victoria),VIC,73515,14066,954,58495,21.6,51663,4,596
instals Residential,Nepean (Eastern Victoria),VIC,73515,14066,954,58495,21.6,51663,4,11143
instals Commercial,Newcastle,NSW,53497,12486,303,40708,27.2,28851,1,426
instals Residential,Newcastle,NSW,53497,12486,303,40708,27.2,28851,1,7842
instals Commercial,Newland,SA,46052,5520,1518,39014,56.7,14618,1,234
instals Residential,Newland,SA,46052,5520,1518,39014,56.7,14618,1,8286
instals Commercial,Newtown,NSW,18474,5982,1936,10556,12.3,18658,5,184
instals Residential,Newtown,NSW,18474,5982,1936,10556,12.3,18658,5,2291
instals Commercial,Nhulunbuy,NT,3812,1237,1707,868,5.7,2308,3,31
instals Residential,Nhulunbuy,NT,3812,1237,1707,868,5.7,2308,3,131
instals Commercial,Nicklin,QLD,79650,13800,656,65194,64.1,20306,3,596
instals Residential,Nicklin,QLD,79650,13800,656,65194,64.1,20306,3,13018
instals Commercial,Niddrie (Western Metropolitan),VIC,28503,6095,486,21922,18,24985,1,219
instals Residential,Niddrie (Western Metropolitan),VIC,28503,6095,486,21922,18,24985,1,4493
instals Commercial,Nightcliff,NT,4450,827,0,3623,37.8,1646,0,17
instals Residential,Nightcliff,NT,4450,827,0,3623,37.8,1646,0,622
instals Commercial,Ninderry,QLD,94530,13849,15258,65423,58,21774,2,612
instals Residential,Ninderry,QLD,94530,13849,15258,65423,58,21774,2,12620
instals Commercial,Noosa,QLD,83092,16030,431,66631,56.2,23084,2,691
instals Residential,Noosa,QLD,83092,16030,431,66631,56.2,23084,2,12982
instals Commercial,North Shore,NSW,16370,4449,410,11511,17,11169,2,174
instals Residential,North Shore,NSW,16370,4449,410,11511,17,11169,2,1897
instals Commercial,North West Central (Mining and Pastoral),WA,129889,9487,112690,7712,9.7,13653,23,336
instals Residential,North West Central (Mining and Pastoral),WA,129889,9487,112690,7712,9.7,13653,23,1318
instals Commercial,Northcote (Northern Metropolitan),VIC,29718,5497,0,24221,23.3,23042,0,164
instals Residential,Northcote (Northern Metropolitan),VIC,29718,5497,0,24221,23.3,23042,0,5364
instals Commercial,Northern Tablelands,NSW,888225,25083,786794,76348,39.9,37961,14,1013
instals Residential,Northern Tablelands,NSW,888225,25083,786794,76348,39.9,37961,14,15135
instals Commercial,Nudgee,QLD,56461,11208,3250,42003,45.3,18189,7,374
instals Residential,Nudgee,QLD,56461,11208,3250,42003,45.3,18189,7,8234
instals Commercial,Oakleigh (Southern Metropolitan),VIC,30363,5603,4374,20386,18.4,22867,7,170
instals Residential,Oakleigh (Southern Metropolitan),VIC,30363,5603,4374,20386,18.4,22867,7,4212
instals Commercial,Oatley,NSW,40515,7286,552,32677,25,23063,2,290
instals Residential,Oatley,NSW,40515,7286,552,32677,25,23063,2,5771
instals Commercial,Oodgeroo,QLD,62697,7832,752,54113,59.2,18827,2,364
instals Residential,Oodgeroo,QLD,62697,7832,752,54113,59.2,18827,2,11141
instals Commercial,Orange,NSW,427892,24418,328279,75195,37.9,34750,19,924
instals Residential,Orange,NSW,427892,24418,328279,75195,37.9,34750,19,13179
instals Commercial,Ovens Valley (Northern Victoria),VIC,106048,22164,18672,65212,41,30991,10,784
instals Residential,Ovens Valley (Northern Victoria),VIC,106048,22164,18672,65212,41,30991,10,12701
instals Commercial,Oxley,NSW,98421,14590,1213,82618,48.6,34705,5,533
instals Residential,Oxley,NSW,98421,14590,1213,82618,48.6,34705,5,16880
instals Commercial,Parramatta,NSW,42996,10112,2661,30223,22.5,23040,9,347
instals Residential,Parramatta,NSW,42996,10112,2661,30223,22.5,23040,9,5188
instals Commercial,Pascoe Vale (Northern Metropolitan),VIC,30553,5455,632,24466,16.5,32767,2,182
instals Residential,Pascoe Vale (Northern Metropolitan),VIC,30553,5455,632,24466,16.5,32767,2,5406
instals Commercial,Penrith,NSW,75575,17133,2642,55800,33.4,29447,7,588
instals Residential,Penrith,NSW,75575,17133,2642,55800,33.4,29447,7,9846
instals Commercial,Perth (North Metropolitan),WA,28835,10990,181,17664,30.4,12086,2,302
instals Residential,Perth (North Metropolitan),WA,28835,10990,181,17664,30.4,12086,2,3669
instals Commercial,Pilbara (Mining and Pastoral),WA,150526,10362,130207,9957,8.5,18835,11,280
instals Residential,Pilbara (Mining and Pastoral),WA,150526,10362,130207,9957,8.5,18835,11,1603
instals Commercial,Pine Rivers,QLD,88584,18354,2352,67878,63,20767,3,789
instals Residential,Pine Rivers,QLD,88584,18354,2352,67878,63,20767,3,13088
instals Commercial,Pittwater,NSW,45257,9700,0,35557,24.5,23742,0,387
instals Residential,Pittwater,NSW,45257,9700,0,35557,24.5,23742,0,5807
instals Commercial,Playford,SA,61424,10765,6903,43756,59.1,15526,10,323
instals Residential,Playford,SA,61424,10765,6903,43756,59.1,15526,10,9174
instals Commercial,Polwarth (Western Victoria),VIC,75115,21785,2041,51289,26.8,37302,4,755
instals Residential,Polwarth (Western Victoria),VIC,75115,21785,2041,51289,26.8,37302,4,9980
instals Commercial,Port Adelaide,SA,62178,17071,8150,36957,50.2,15840,13,500
instals Residential,Port Adelaide,SA,62178,17071,8150,36957,50.2,15840,13,7948
instals Commercial,Port Darwin,NT,6086,4300,462,1324,36.8,572,2,82
instals Residential,Port Darwin,NT,6086,4300,462,1324,36.8,572,2,210
instals Commercial,Port Macquarie,NSW,104396,13434,2628,88334,50.4,35502,5,475
instals Residential,Port Macquarie,NSW,104396,13434,2628,88334,50.4,35502,5,17897
instals Commercial,Port Stephens,NSW,97917,14744,2274,80899,41,36701,7,549
instals Residential,Port Stephens,NSW,97917,14744,2274,80899,41,36701,7,15064
instals Commercial,Prahran (Southern Metropolitan),VIC,8787,2745,0,6042,11.3,11158,0,104
instals Residential,Prahran (Southern Metropolitan),VIC,8787,2745,0,6042,11.3,11158,0,1256
instals Commercial,Preston (Northern Metropolitan),VIC,30049,6154,584,23311,17.2,30359,2,171
instals Residential,Preston (Northern Metropolitan),VIC,30049,6154,584,23311,17.2,30359,2,5225
instals Commercial,Prospect,NSW,84161,22210,15638,46313,31.1,27232,38,590
instals Residential,Prospect,NSW,84161,22210,15638,46313,31.1,27232,38,8456
instals Commercial,Pumicestone,QLD,88971,10037,1244,77690,66,24733,4,431
instals Residential,Pumicestone,QLD,88971,10037,1244,77690,66,24733,4,16336
instals Commercial,Ramsay,SA,47175,5205,2729,39241,51.1,16282,3,175
instals Residential,Ramsay,SA,47175,5205,2729,39241,51.1,16282,3,8324
instals Commercial,Redcliffe,QLD,57063,8269,220,48574,47.9,20447,1,365
instals Residential,Redcliffe,QLD,57063,8269,220,48574,47.9,20447,1,9804
instals Commercial,Redlands,QLD,77700,6772,880,70048,61.6,23402,2,308
instals Residential,Redlands,QLD,77700,6772,880,70048,61.6,23402,2,14423
instals Commercial,Reynell,SA,43343,4434,2968,35941,48.1,16803,4,158
instals Residential,Reynell,SA,43343,4434,2968,35941,48.1,16803,4,8080
instals Commercial,Richmond (Northern Metropolitan),VIC,21596,6621,3520,11455,14,19501,6,210
instals Residential,Richmond (Northern Metropolitan),VIC,21596,6621,3520,11455,14,19501,6,2732
instals Commercial,Ringwood (Eastern Metropolitan),VIC,36970,7728,628,28614,22,26503,3,242
instals Residential,Ringwood (Eastern Metropolitan),VIC,36970,7728,628,28614,22,26503,3,5842
instals Commercial,Ripon (Western Victoria),VIC,98596,16819,23751,58026,35.7,33138,13,551
instals Residential,Ripon (Western Victoria),VIC,98596,16819,23751,58026,35.7,33138,13,11835
instals Commercial,Riverstone,NSW,167838,18292,813,148733,48.8,46017,5,819
instals Residential,Riverstone,NSW,167838,18292,813,148733,48.8,46017,5,22472
instals Commercial,Riverton (South Metropolitan),WA,44647,4367,180,40100,62.4,14274,1,127
instals Residential,Riverton (South Metropolitan),WA,44647,4367,180,40100,62.4,14274,1,8914
instals Commercial,Rockdale,NSW,27923,5769,332,21822,19.3,19573,2,215
instals Residential,Rockdale,NSW,27923,5769,332,21822,19.3,19573,2,3783
instals Commercial,Rockhampton,QLD,59949,11582,3068,45299,42.1,21807,8,394
instals Residential,Rockhampton,QLD,59949,11582,3068,45299,42.1,21807,8,9178
instals Commercial,Rockingham (South Metropolitan),WA,42493,3940,2164,36389,52.9,17150,2,127
instals Residential,Rockingham (South Metropolitan),WA,42493,3940,2164,36389,52.9,17150,2,9076
instals Commercial,Roe (Agricultural),WA,34136,6488,5066,22582,23.7,20321,4,263
instals Residential,Roe (Agricultural),WA,34136,6488,5066,22582,23.7,20321,4,4824
instals Commercial,Rowville (South-Eastern Metropolitan),VIC,47173,7975,5155,34043,35.3,20233,9,216
instals Residential,Rowville (South-Eastern Metropolitan),VIC,47173,7975,5155,34043,35.3,20233,9,7135
instals Commercial,Ryde,NSW,39661,8735,1438,29488,23.6,22327,6,274
instals Residential,Ryde,NSW,39661,8735,1438,29488,23.6,22327,6,5271
instals Commercial,Sanderson,NT,7099,1097,0,6002,35.6,2900,0,23
instals Residential,Sanderson,NT,7099,1097,0,6002,35.6,2900,0,1032
instals Commercial,Sandgate,QLD,56849,4389,1624,50836,51.6,21187,3,170
instals Residential,Sandgate,QLD,56849,4389,1624,50836,51.6,21187,3,10941
instals Commercial,Sandringham (Southern Metropolitan),VIC,32548,5398,452,26698,20.1,24293,2,201
instals Residential,Sandringham (Southern Metropolitan),VIC,32548,5398,452,26698,20.1,24293,2,4885
instals Commercial,Scarborough (North Metropolitan),WA,33657,2171,423,31063,33.4,19334,3,79
instals Residential,Scarborough (North Metropolitan),WA,33657,2171,423,31063,33.4,19334,3,6459
instals Commercial,Scenic Rim,QLD,94431,19801,195,74435,58.4,24334,1,850
instals Residential,Scenic Rim,QLD,94431,19801,195,74435,58.4,24334,1,14205
instals Commercial,Schubert,SA,80984,18147,9748,53089,62.2,16111,17,681
instals Residential,Schubert,SA,80984,18147,9748,53089,62.2,16111,17,10027
instals Commercial,Seven Hills,NSW,63613,10637,3779,49197,32.6,27556,12,366
instals Residential,Seven Hills,NSW,63613,10637,3779,49197,32.6,27556,12,8974
instals Commercial,Shellharbour,NSW,81056,7772,2600,70684,36.7,34629,6,286
instals Residential,Shellharbour,NSW,81056,7772,2600,70684,36.7,34629,6,12725
instals Commercial,Shepparton (Northern Victoria),VIC,362810,27102,274507,61201,38,32348,36,870
instals Residential,Shepparton (Northern Victoria),VIC,362810,27102,274507,61201,38,32348,36,12300
instals Commercial,South Barwon (Western Victoria),VIC,78468,9037,9451,59980,27.3,42408,6,325
instals Residential,South Barwon (Western Victoria),VIC,78468,9037,9451,59980,27.3,42408,6,11562
instals Commercial,South Brisbane,QLD,26298,8854,973,16471,41.9,7784,4,288
instals Residential,South Brisbane,QLD,26298,8854,973,16471,41.9,7784,4,3259
instals Commercial,South Coast,NSW,96548,12206,504,83838,35,44475,1,464
instals Residential,South Coast,NSW,96548,12206,504,83838,35,44475,1,15553
instals Commercial,South Perth (South Metropolitan),WA,30219,2541,193,27485,32,17298,1,93
instals Residential,South Perth (South Metropolitan),WA,30219,2541,193,27485,32,17298,1,5536
instals Commercial,South-West Coast (Western Victoria),VIC,49504,13223,699,35582,23.2,31194,3,395
instals Residential,South-West Coast (Western Victoria),VIC,49504,13223,699,35582,23.2,31194,3,7230
instals Commercial,Southern Downs,QLD,156351,21976,81796,52579,42.6,24501,8,809
instals Residential,Southern Downs,QLD,156351,21976,81796,52579,42.6,24501,8,10442
instals Commercial,Southern River (South Metropolitan),WA,53940,4845,416,48679,60.6,17872,2,138
instals Residential,Southern River (South Metropolitan),WA,53940,4845,416,48679,60.6,17872,2,10823
instals Commercial,Southport,QLD,54921,13749,1620,39552,45.3,16988,6,491
instals Residential,Southport,QLD,54921,13749,1620,39552,45.3,16988,6,7687
instals Commercial,Spillett,NT,24807,4389,9960,10458,38.6,4386,6,99
instals Residential,Spillett,NT,24807,4389,9960,10458,38.6,4386,6,1694
instals Commercial,Springwood,QLD,76916,9594,5713,61609,58.3,20773,4,410
instals Residential,Springwood,QLD,76916,9594,5713,61609,58.3,20773,4,12114
instals Commercial,St Albans (Western Metropolitan),VIC,37616,7069,1595,28952,23.7,27212,3,181
instals Residential,St Albans (Western Metropolitan),VIC,37616,7069,1595,28952,23.7,27212,3,6458
instals Commercial,Stafford,QLD,47467,7349,1751,38367,40.3,18074,6,295
instals Residential,Stafford,QLD,47467,7349,1751,38367,40.3,18074,6,7281
instals Commercial,Strathfield,NSW,38336,9452,6020,22864,21.4,18511,8,325
instals Residential,Strathfield,NSW,38336,9452,6020,22864,21.4,18511,8,3961
instals Commercial,Stretton,QLD,65137,6665,2444,56028,58.7,20493,4,287
instals Residential,Stretton,QLD,65137,6665,2444,56028,58.7,20493,4,12036
instals Commercial,Stuart (NT),NT,3785,1483,1584,718,4.9,2448,6,42
instals Residential,Stuart (NT),NT,3785,1483,1584,718,4.9,2448,6,121
instals Commercial,Stuart (SA),SA,340162,14498,282876,42788,48.7,18085,18,532
instals Residential,Stuart (SA),SA,340162,14498,282876,42788,48.7,18085,18,8803
instals Commercial,Summer Hill,NSW,26820,7312,984,18524,21.3,16312,3,225
instals Residential,Summer Hill,NSW,26820,7312,984,18524,21.3,16312,3,3473
instals Commercial,Sunbury (Western Metropolitan),VIC,67466,11923,14520,41023,29.3,27099,4,376
instals Residential,Sunbury (Western Metropolitan),VIC,67466,11923,14520,41023,29.3,27099,4,7931
instals Commercial,Surfers Paradise,QLD,36063,8368,0,27695,47.9,10443,0,375
instals Residential,Surfers Paradise,QLD,36063,8368,0,27695,47.9,10443,0,5002
instals Commercial,Swan Hills (East Metropolitan),WA,85067,4528,4599,75940,64.1,23670,4,193
instals Residential,Swan Hills (East Metropolitan),WA,85067,4528,4599,75940,64.1,23670,4,15167
instals Commercial,Swansea,NSW,79746,8621,288,70837,38.3,33114,1,354
instals Residential,Swansea,NSW,79746,8621,288,70837,38.3,33114,1,12694
instals Commercial,Sydenham (Western Metropolitan),VIC,54893,3781,3513,47599,36.3,25209,5,136
instals Residential,Sydenham (Western Metropolitan),VIC,54893,3781,3513,47599,36.3,25209,5,9147
instals Commercial,Sydney,NSW,10915,5056,2837,3022,6.2,9980,9,145
instals Residential,Sydney,NSW,10915,5056,2837,3022,6.2,9980,9,621
instals Commercial,Tamworth,NSW,251672,21635,159128,70909,35.5,36367,14,798
instals Residential,Tamworth,NSW,251672,21635,159128,70909,35.5,36367,14,12924
instals Commercial,Tarneit (Western Metropolitan),VIC,161533,31589,9743,120201,41.2,52567,28,653
instals Residential,Tarneit (Western Metropolitan),VIC,161533,31589,9743,120201,41.2,52567,28,21663
instals Commercial,Taylor,SA,93502,23738,7579,62185,57.8,19259,12,813
instals Residential,Taylor,SA,93502,23738,7579,62185,57.8,19259,12,11124
instals Commercial,Terrigal,NSW,66729,8863,716,57150,32.2,30930,3,379
instals Residential,Terrigal,NSW,66729,8863,716,57150,32.2,30930,3,9963
instals Commercial,The Entrance,NSW,66081,10825,2660,52596,31,29926,4,385
instals Residential,The Entrance,NSW,66081,10825,2660,52596,31,29926,4,9277
instals Commercial,Theodore,QLD,99772,16209,3278,80285,53.8,25664,3,782
instals Residential,Theodore,QLD,99772,16209,3278,80285,53.8,25664,3,13801
instals Commercial,Thomastown (Northern Metropolitan),VIC,62152,13586,4846,43720,26.7,31022,8,408
instals Residential,Thomastown (Northern Metropolitan),VIC,62152,13586,4846,43720,26.7,31022,8,8270
instals Commercial,Thornlie (East Metropolitan),WA,50288,5085,0,45203,54.5,19396,0,165
instals Residential,Thornlie (East Metropolitan),WA,50288,5085,0,45203,54.5,19396,0,10568
instals Commercial,Thuringowa,QLD,225376,7437,151480,66459,60.4,20641,6,328
instals Residential,Thuringowa,QLD,225376,7437,151480,66459,60.4,20641,6,12462
instals Commercial,Toohey,QLD,71680,18421,3396,49863,51.6,20527,8,618
instals Residential,Toohey,QLD,71680,18421,3396,49863,51.6,20527,8,10597
instals Commercial,Toowoomba North,QLD,57877,11930,2110,43837,37.2,23166,5,421
instals Residential,Toowoomba North,QLD,57877,11930,2110,43837,37.2,23166,5,8628
instals Commercial,Toowoomba South,QLD,54860,12004,2979,39877,32.5,24765,6,380
instals Residential,Toowoomba South,QLD,54860,12004,2979,39877,32.5,24765,6,8051
instals Commercial,Torrens,SA,50052,7937,520,41595,50.9,16151,2,307
instals Residential,Torrens,SA,50052,7937,520,41595,50.9,16151,2,8228
instals Commercial,Townsville,QLD,66546,15545,5008,45993,40.5,20761,16,539
instals Residential,Townsville,QLD,66546,15545,5008,45993,40.5,20761,16,8415
instals Commercial,Traeger,QLD,263381,17216,212925,33240,26.1,22445,11,636
instals Residential,Traeger,QLD,263381,17216,212925,33240,26.1,22445,11,5864
instals Commercial,Tweed,NSW,117401,14140,1194,102067,62,32281,4,559
instals Residential,Tweed,NSW,117401,14140,1194,102067,62,32281,4,20017
instals Commercial,Unclassified (OT),OT,4871,1203,0,3668,45.6,1947,0,50
instals Residential,Unclassified (OT),OT,4871,1203,0,3668,45.6,1947,0,888
instals Commercial,Unley,SA,48598,13331,374,34893,49.5,12830,2,585
instals Residential,Unley,SA,48598,13331,374,34893,49.5,12830,2,6346
instals Commercial,Upper Hunter,NSW,111757,25655,3958,82144,37.7,36432,8,1035
instals Residential,Upper Hunter,NSW,111757,25655,3958,82144,37.7,36432,8,13725
instals Commercial,Vasse (South West),WA,59334,10593,142,48599,40.9,24705,1,341
instals Residential,Vasse (South West),WA,59334,10593,142,48599,40.9,24705,1,10093
instals Commercial,Vaucluse,NSW,19461,4863,0,14598,18.6,12197,0,241
instals Residential,Vaucluse,NSW,19461,4863,0,14598,18.6,12197,0,2265
instals Commercial,Victoria Park (South Metropolitan),WA,36700,6443,936,29321,30.1,21104,3,179
instals Residential,Victoria Park (South Metropolitan),WA,36700,6443,936,29321,30.1,21104,3,6359
instals Commercial,Wagga Wagga,NSW,251089,18072,167101,65916,37.6,32945,9,664
instals Residential,Wagga Wagga,NSW,251089,18072,167101,65916,37.6,32945,9,12391
instals Commercial,Waite,SA,51915,7835,300,43780,58.5,13750,2,406
instals Residential,Waite,SA,51915,7835,300,43780,58.5,13750,2,8047
instals Commercial,Wakehurst,NSW,46097,7389,562,38146,30.3,20936,3,275
instals Residential,Wakehurst,NSW,46097,7389,562,38146,30.3,20936,3,6343
instals Commercial,Wallsend,NSW,84109,10600,10683,62826,32.5,35879,11,366
instals Residential,Wallsend,NSW,84109,10600,10683,62826,32.5,35879,11,11674
instals Commercial,Wanguri,NT,7694,1201,470,6023,36.4,2846,2,25
instals Residential,Wanguri,NT,7694,1201,470,6023,36.4,2846,2,1035
instals Commercial,Wanneroo (North Metropolitan),WA,70380,10292,2241,57847,63.8,18821,7,305
instals Residential,Wanneroo (North Metropolitan),WA,70380,10292,2241,57847,63.8,18821,7,12013
instals Commercial,Warnbro (South Metropolitan),WA,58602,2091,1691,54820,63.8,18702,3,77
instals Residential,Warnbro (South Metropolitan),WA,58602,2091,1691,54820,63.8,18702,3,11929
instals Commercial,Warrandyte (Eastern Metropolitan),VIC,37447,5706,1405,30336,26.2,21837,4,254
instals Residential,Warrandyte (Eastern Metropolitan),VIC,37447,5706,1405,30336,26.2,21837,4,5716
instals Commercial,Warrego,QLD,206290,23963,142045,40282,36.8,21386,7,857
instals Residential,Warrego,QLD,206290,23963,142045,40282,36.8,21386,7,7869
instals Commercial,Warren-Blackwood (South West),WA,41790,9167,299,32324,30.2,22824,2,324
instals Residential,Warren-Blackwood (South West),WA,41790,9167,299,32324,30.2,22824,2,6890
instals Commercial,Waterford,QLD,78802,14870,2072,61860,51.7,23852,5,518
instals Residential,Waterford,QLD,78802,14870,2072,61860,51.7,23852,5,12330
instals Commercial,Wendouree (Western Victoria),VIC,45332,11809,2535,30988,22,27780,7,333
instals Residential,Wendouree (Western Victoria),VIC,45332,11809,2535,30988,22,27780,7,6104
instals Commercial,Werribee (Western Metropolitan),VIC,85646,8266,2706,74674,36.4,37810,9,231
instals Residential,Werribee (Western Metropolitan),VIC,85646,8266,2706,74674,36.4,37810,9,13779
instals Commercial,West Swan (East Metropolitan),WA,69230,6729,1392,61109,61.2,20059,6,212
