"LGA","lga_name","lga_state","capacity_lga","dwellings_lga","instals_lga","density_lga","capacity_Residential","capacity_Commercial","capacity_Power_Station","installs_Residential","installs_Commercial","installs_Power_Station"
"51680","Chittering (S)","WA","10527","2495","1748","67.4","8800","1727","0","1682","66","0"
"51750","Claremont (T)","WA","10220","3765","1591","40.9","7766","1119","1335","1541","46","4"
"51820","Cockburn (C)","WA","135230","47089","24948","51.9","114541","17317","3372","24435","500","13"
"51890","Collie (S)","WA","9032","3967","1902","47.0","7859","1173","0","1863","39","0"
"51960","Coolgardie (S)","WA","3649","1755","369","19.9","1860","714","1075","349","19","1"
"52030","Coorow (S)","WA","1827","966","307","30.5","1471","356","0","294","13","0"
"52100","Corrigin (S)","WA","1363","475","258","52.0","1121","242","0","247","11","0"
"52170","Cottesloe (T)","WA","6156","2728","985","34.5","5206","950","0","940","45","0"
"52240","Cranbrook (S)","WA","767","628","128","19.1","557","210","0","120","8","0"
"52310","Cuballing (S)","WA","1003","529","201","36.5","841","162","0","193","8","0"
"52380","Cue (S)","WA","10991","190","40","16.3","167","264","10560","31","6","3"
"52450","Cunderdin (S)","WA","1566","688","241","32.7","1170","396","0","225","16","0"
"52520","Dalwallinu (S)","WA","1916","553","253","39.3","1089","827","0","217","36","0"
"52590","Dandaragan (S)","WA","29451","2571","1088","40.4","5418","2461","21572","1038","48","2"
"52660","Dardanup (S)","WA","17614","6196","3592","57.2","16099","1285","230","3546","45","1"
"52730","Denmark (S)","WA","5650","3703","1106","29.0","4595","1055","0","1074","32","0"
"52800","Derby-West Kimberley (S)","WA","4621","3466","279","4.9","1017","3404","200","171","107","1"
"52870","Donnybrook-Balingup (S)","WA","9228","2839","1697","56.9","7254","1974","0","1615","82","0"
"52940","Dowerin (S)","WA","700","445","121","25.4","552","148","0","113","8","0"
"53010","Dumbleyung (S)","WA","723","303","116","34.8","488","235","0","105","11","0"
"53080","Dundas (S)","WA","7301","456","53","9.9","203","236","6862","45","6","2"
"53150","East Fremantle (T)","WA","6037","2797","1135","39.8","5490","547","0","1114","21","0"
"53220","East Pilbara (S)","WA","127546","3013","165","3.8","554","1819","125173","115","46","4"
"53290","Esperance (S)","WA","10710","6742","1052","14.7","4970","1509","4231","989","61","2"
"53360","Exmouth (S)","WA","3961","2566","311","9.2","1683","2018","260","236","74","1"
"53430","Fremantle (C)","WA","25270","12897","4781","36.1","20381","4064","825","4653","125","3"
"53570","Gingin (S)","WA","15122","4424","1855","39.7","8301","3349","3472","1754","98","3"
"53640","Gnowangerup (S)","WA","1323","781","213","26.1","1056","267","0","204","9","0"
"53710","Goomalling (S)","WA","1156","518","201","36.6","910","246","0","190","11","0"
"53780","Gosnells (C)","WA","130658","47364","26774","55.7","115753","13239","1666","26377","393","4"
"53800","Greater Geraldton (C)","WA","40059","17733","7243","39.8","32467","5724","1868","7054","186","3"
"53920","Halls Creek (S)","WA","1052","1645","58","1.7","177","875","0","29","29","0"
"53990","Harvey (S)","WA","34576","11858","6541","54.2","30104","3733","739","6423","115","3"
"54060","Irwin (S)","WA","4765","2197","920","41.1","4224","541","0","902","18","0"
"54130","Jerramungup (S)","WA","868","835","139","15.4","641","227","0","128","11","0"
"54170","Joondalup (C)","WA","171133","61349","35728","57.8","162966","7331","836","35476","249","3"
"54200","Kalamunda (C)","WA","65769","23818","13119","54.1","57140","7541","1088","12878","238","3"
"54280","Kalgoorlie/Boulder (C)","WA","29148","13079","3229","23.6","15667","4457","9024","3087","135","7"
"54310","Karratha (C)","WA","17843","8950","1197","11.3","6664","6142","5037","1009","181","7"
"54340","Katanning (S)","WA","2778","1831","526","27.6","2253","525","0","506","20","0"
"54410","Kellerberrin (S)","WA","1186","618","211","32.7","916","270","0","202","9","0"
"54480","Kent (S)","WA","341","242","53","19.4","247","94","0","47","6","0"
"54550","Kojonup (S)","WA","1844","1062","280","24.6","1202","642","0","261","19","0"
"54620","Kondinin (S)","WA","880","471","117","21.1","505","375","0","99","18","0"
"54690","Koorda (S)","WA","461","243","74","28.4","367","94","0","69","5","0"
"54760","Kulin (S)","WA","769","338","152","42.4","582","187","0","144","8","0"
"54830","Kwinana (C)","WA","54776","18133","10280","55.9","47620","5206","1950","10129","142","9"
"54900","Lake Grace (S)","WA","1411","687","211","28.4","1094","317","0","195","16","0"
"54970","Laverton (S)","WA","31375","311","36","7.4","136","315","30924","23","9","4"
"55040","Leonora (S)","WA","17883","747","262","33.1","585","306","16992","247","11","4"
"55110","Mandurah (C)","WA","115220","44554","24862","55.2","106023","7112","2085","24609","244","9"
"55180","Manjimup (S)","WA","8916","4981","1364","25.2","5437","3479","0","1254","110","0"
"55250","Meekatharra (S)","WA","37137","615","89","11.7","329","217","36591","72","10","7"
"55320","Melville (C)","WA","99408","40706","18793","45.3","87239","11662","507","18427","363","3"
"55390","Menzies (S)","WA","239","242","19","5.8","60","179","0","14","5","0"
"55460","Merredin (S)","WA","136334","1580","586","34.9","2472","869","132993","551","33","2"
"55530","Mingenew (S)","WA","755","232","115","45.3","539","216","0","105","10","0"
"55600","Moora (S)","WA","2514","1096","415","35.5","1876","638","0","389","26","0"
"55670","Morawa (S)","WA","838","244","133","50.8","667","171","0","124","9","0"
"55740","Mosman Park (T)","WA","7184","3058","1157","36.4","6093","883","208","1114","42","1"
"55810","Mount Magnet (S)","WA","617","384","59","13.8","250","165","202","53","5","1"
"55880","Mount Marshall (S)","WA","545","287","81","26.2","412","133","0","75","6","0"
"55950","Mukinbudin (S)","WA","737","339","115","30.8","494","243","0","104","11","0"
"56090","Mundaring (S)","WA","43514","15322","8413","53.8","38712","4372","430","8241","171","1"
"56160","Murchison (S)","WA","405","61","20","27.1","86","69","250","17","2","1"
"56230","Murray (S)","WA","29072","8357","5617","65.9","24825","2721","1526","5511","103","3"
"56300","Nannup (S)","WA","2057","1009","390","36.9","1688","369","0","372","18","0"
"56370","Narembeen (S)","WA","1066","379","164","40.1","789","277","0","152","12","0"
"56460","Narrogin (S)","WA","4253","2419","784","30.9","3451","802","0","747","37","0"
"56580","Nedlands (C)","WA","16963","6900","2790","38.9","14382","2581","0","2687","103","0"
"56620","Ngaanyatjarraku (S)","WA","293","544","26","3.7","107","186","0","20","6","0"
"56730","Northam (S)","WA","25298","5428","2398","42.6","10688","2521","12089","2312","84","2"
"56790","Northampton (S)","WA","5849","2171","807","35.5","3685","1164","1000","770","36","1"
"56860","Nungarin (S)","WA","239","131","41","28.2","175","64","0","37","4","0"
"56930","Peppermint Grove (S)","WA","1335","593","213","34.3","1128","207","0","203","10","0"
"57000","Perenjori (S)","WA","705","240","95","35.4","472","233","0","85","10","0"
"57080","Perth (C)","WA","12041","3491","1248","30.9","5460","5899","682","1080","165","3"
"57140","Pingelly (S)","WA","1320","583","247","40.9","1153","167","0","238","9","0"
"57210","Plantagenet (S)","WA","4388","2790","827","28.6","3748","640","0","798","29","0"
"57280","Port Hedland (T)","WA","5383","7037","555","7.1","2869","2514","0","499","56","0"
"57350","Quairading (S)","WA","1161","472","209","42.6","801","152","208","201","7","1"
"57420","Ravensthorpe (S)","WA","1158","1471","206","13.4","850","308","0","197","9","0"
"57490","Rockingham (C)","WA","160915","54450","33426","60.8","147889","9171","3855","33106","315","5"
"57630","Sandstone (S)","WA","259","93","22","21.5","82","13","164","20","1","1"
"57700","Serpentine-Jarrahdale (S)","WA","48735","12105","8458","68.3","43460","5075","200","8269","188","1"
"57770","Shark Bay (S)","WA","13686","1333","153","9.4","602","610","12474","125","26","2"
"57840","South Perth (C)","WA","30184","17277","5624","32.0","27454","2537","193","5530","93","1"
"57910","Stirling (C)","WA","168130","93907","31144","32.5","145230","20167","2733","30509","625","10"
"57980","Subiaco (C)","WA","11963","5453","1938","34.0","9274","2511","178","1853","84","1"
"58050","Swan (C)","WA","213232","61216","37144","59.3","180819","25469","6944","36312","819","13"
"58190","Tammin (S)","WA","285","262","53","18.3","175","110","0","48","5","0"
"58260","Three Springs (S)","WA","712","322","119","35.4","615","97","0","114","5","0"
"58330","Toodyay (S)","WA","6643","2371","1457","60.7","6186","457","0","1438","19","0"
"58400","Trayning (S)","WA","319","262","63","23.7","299","20","0","62","1","0"
"58470","Upper Gascoyne (S)","WA","199","145","22","12.4","100","99","0","18","4","0"
"58510","Victoria Park (T)","WA","30611","14526","4542","29.5","20207","9288","1116","4287","251","4"
"58540","Victoria Plains (S)","WA","1499","361","157","38.9","726","773","0","140","17","0"
"58570","Vincent (C)","WA","22402","10491","3481","31.5","16160","6061","181","3304","175","2"
"58610","Wagin (S)","WA","2189","810","356","42.5","1433","361","395","344","11","1"
"58680","Wandering (S)","WA","521","229","97","41.1","456","65","0","94","3","0"
"58760","Wanneroo (C)","WA","253476","81671","48537","58.5","224929","23878","4669","47800","719","18"
"58820","Waroona (S)","WA","5580","2340","1051","43.9","4890","690","0","1028","23","0"
"58890","West Arthur (S)","WA","791","350","147","39.8","600","191","0","139","8","0"
"59030","Westonia (S)","WA","446","157","83","50.6","357","89","0","79","4","0"
"59100","Wickepin (S)","WA","546","312","126","39.5","493","53","0","123","3","0"
"59170","Williams (S)","WA","1406","512","150","27.1","716","250","440","139","10","1"
"59250","Wiluna (S)","WA","27956","248","18","3.2","49","259","27648","8","8","2"
"59310","Wongan-Ballidu (S)","WA","1611","631","229","32.6","1070","541","0","206","23","0"
"59320","Woodanilling (S)","WA","386","246","85","34.2","343","43","0","84","1","0"
"59330","Wyalkatchem (S)","WA","524","379","112","28.5","457","67","0","108","4","0"
"59340","Wyndham-East Kimberley (S)","WA","5440","3880","383","7.8","1981","2529","930","303","79","1"
"59350","Yalgoo (S)","WA","477","87","27","23.7","116","147","214","21","5","1"
"59360","Yilgarn (S)","WA","1248","695","201","27.9","1120","128","0","194","7","0"
"59370","York (S)","WA","5457","1830","984","52.7","4361","601","495","965","18","1"
"60210","Break O'Day (M)","TAS","6702","5144","1217","23.1","5757","945","0","1187","30","0"
"60410","Brighton (M)","TAS","10507","7911","1889","23.5","9395","792","320","1858","30","1"
"60610","Burnie (C)","TAS","9988","9602","1522","15.3","7620","2012","356","1466","54","2"
"60810","Central Coast (M) (Tas.)","TAS","13854","10698","2406","21.8","11845","2009","0","2333","73","0"
"61010","Central Highlands (M) (Tas.)","TAS","1190","1118","210","18.2","1018","172","0","204","6","0"
"61210","Circular Head (M)","TAS","5083","4099","709","16.5","3674","1101","308","675","32","2"
"61410","Clarence (C)","TAS","35558","26808","6134","22.3","30137","4540","881","5974","157","3"
"61510","Derwent Valley (M)","TAS","5610","5334","974","17.7","4710","900","0","946","28","0"
"61610","Devonport (C)","TAS","14330","12258","2281","17.9","10801","2759","770","2192","87","2"
"61810","Dorset (M)","TAS","4828","4210","853","19.5","3725","1103","0","822","31","0"
"62010","Flinders (M) (Tas.)","TAS","3177","708","249","33.8","1018","159","2000","239","9","1"
"62210","George Town (M)","TAS","14543","3668","982","26.1","4891","834","8818","958","22","2"
"62410","Glamorgan/Spring Bay (M)","TAS","5082","4602","941","20.0","4405","677","0","918","23","0"
"62610","Glenorchy (C)","TAS","18771","19309","3531","17.9","15423","2540","808","3451","78","2"
"62810","Hobart (C)","TAS","23770","20077","4185","20.0","18735","4630","405","4017","167","1"
"63010","Huon Valley (M)","TAS","14005","9231","2538","26.8","11749","2256","0","2470","68","0"
"63210","Kentish (M)","TAS","4779","3024","805","25.6","3695","857","227","775","29","1"
"63410","King Island (M)","TAS","2463","907","320","30.8","1530","933","0","279","41","0"
"63610","Kingborough (M)","TAS","24909","17792","4724","26.1","22240","2390","279","4638","84","2"
"63810","Latrobe (M) (Tas.)","TAS","8430","6253","1396","21.8","7129","1301","0","1360","36","0"
"64010","Launceston (C)","TAS","39104","29422","6159","20.1","29383","9074","647","5907","249","3"
"64210","Meander Valley (M)","TAS","14261","9472","2324","23.6","11029","3232","0","2232","92","0"
"64610","Northern Midlands (M)","TAS","10401","6221","1551","23.6","7189","2965","247","1468","82","1"
"64810","Sorell (M)","TAS","10258","8689","1980","22.4","9356","902","0","1948","32","0"
"65010","Southern Midlands (M)","TAS","3652","3191","669","20.4","3128","524","0","650","19","0"
"65210","Tasman (M)","TAS","2259","2828","438","15.0","1977","282","0","424","14","0"
"65410","Waratah/Wynyard (M)","TAS","8304","6759","1429","20.5","6948","1356","0","1386","43","0"
"65610","West Coast (M)","TAS","2190","3011","351","11.3","1844","346","0","341","10","0"
"65810","West Tamar (M)","TAS","17972","11233","3294","28.7","15797","2175","0","3219","75","0"
"70200","Alice Springs (T)","NT","25107","10812","3320","29.1","16231","6734","2142","3144","169","7"
"70420","Barkly (R)","NT","4547","2842","388","11.9","2071","1573","903","338","48","2"
"70540","Belyuen (S)","NT","92","51","8","13.0","46","46","0","7","1","0"
"70620","Central Desert (R)","NT","2417","1352","84","4.2","325","754","1338","57","23","4"
"70700","Coomalie (S)","NT","26360","736","161","19.2","792","521","25047","141","18","2"
"71000","Darwin (C)","NT","78377","22067","8077","34.6","45608","20245","12524","7635","430","12"
"71300","East Arnhem (R)","NT","6367","2797","348","10.3","1974","2149","2244","287","56","5"
"72200","Katherine (T)","NT","42779","4073","972","21.7","5105","3643","34031","884","86","2"
"72300","Litchfield (M)","NT","50924","8692","3074","33.1","19885","7171","23868","2880","190","4"
"72330","MacDonnell (R)","NT","2647","2233","127","3.9","481","1079","1087","86","35","6"
"72800","Palmerston (C)","NT","39598","12867","5481","41.8","32333","4179","3086","5380","94","7"
"73600","Roper Gulf (R)","NT","4086","2569","258","8.0","1334","1960","792","204","50","4"
"74050","Tiwi Islands (R)","NT","2473","759","117","13.0","684","688","1101","98","18","1"
"74550","Victoria Daly (R)","NT","2593","1096","125","9.3","659","910","1024","102","22","1"
"74560","Wagait (S)","NT","257","142","21","13.0","128","129","0","18","3","0"
"74660","West Arnhem (R)","NT","13642","2218","259","9.4","1446","1584","10612","209","45","5"
"74680","West Daly (R)","NT","1777","983","150","13.0","886","891","0","127","23","0"
"79399","Unincorporated NT","NT","6067","2733","275","8.3","1454","1787","2826","226","44","5"
"89399","Unincorporated ACT","ACT","472400","153522","57638","35.8","343390","71960","57050","54935","2669","34"
"99399","Unincorp. Other Territories","OT","5127","2068","981","44.9","3892","1235","0","930","51","0"
