date,Category,Count,Cumulative_Sum
2021-05,<2.5kW,1005,1327201
2021-06,<2.5kW,884,1328085
2021-07,<2.5kW,880,1328965
2021-08,<2.5kW,1039,1330004
2021-09,<2.5kW,868,1330872
2021-10,<2.5kW,879,1331751
2021-11,<2.5kW,891,1332642
2021-12,<2.5kW,749,1333391
2022-01,<2.5kW,312,1333703
2022-02,<2.5kW,686,1334389
2022-03,<2.5kW,813,1335202
2022-04,<2.5kW,996,1336198
2022-05,<2.5kW,801,1336999
2022-06,<2.5kW,885,1337884
2022-07,<2.5kW,817,1338701
2022-08,<2.5kW,938,1339639
2022-09,<2.5kW,842,1340481
2022-10,<2.5kW,792,1341273
2022-11,<2.5kW,922,1342195
2022-12,<2.5kW,681,1342876
2023-01,<2.5kW,587,1343463
2023-02,<2.5kW,846,1344309
2023-03,<2.5kW,915,1345224
2023-04,<2.5kW,701,1345925
2023-05,<2.5kW,912,1346837
2023-06,<2.5kW,855,1347692
2023-07,<2.5kW,777,1348469
2023-08,<2.5kW,881,1349350
2023-09,<2.5kW,688,1350038
2023-10,<2.5kW,718,1350756
2023-11,<2.5kW,677,1351433
2023-12,<2.5kW,487,1351920
2024-01,<2.5kW,428,1352348
2024-02,<2.5kW,626,1352974
2024-03,<2.5kW,497,1353471
2024-04,<2.5kW,509,1353980
2024-05,<2.5kW,497,1354477
2024-06,<2.5kW,219,1354696
2007-01,2.5–4.5,33,33
2007-02,2.5–4.5,26,59
2007-03,2.5–4.5,26,85
2007-04,2.5–4.5,38,123
2007-05,2.5–4.5,24,147
2007-06,2.5–4.5,70,217
2007-07,2.5–4.5,65,282
2007-08,2.5–4.5,114,396
2007-09,2.5–4.5,149,545
2007-10,2.5–4.5,190,735
2007-11,2.5–4.5,142,877
2007-12,2.5–4.5,178,1055
2008-01,2.5–4.5,159,1214
2008-02,2.5–4.5,164,1378
2008-03,2.5–4.5,134,1512
2008-04,2.5–4.5,175,1687
2008-05,2.5–4.5,236,1923
2008-06,2.5–4.5,171,2094
2008-07,2.5–4.5,227,2321
2008-08,2.5–4.5,212,2533
2008-09,2.5–4.5,206,2739
2008-10,2.5–4.5,324,3063
2008-11,2.5–4.5,276,3339
2008-12,2.5–4.5,380,3719
2009-01,2.5–4.5,227,3946
2009-02,2.5–4.5,302,4248
2009-03,2.5–4.5,381,4629
2009-04,2.5–4.5,380,5009
2009-05,2.5–4.5,435,5444
2009-06,2.5–4.5,377,5821
2009-07,2.5–4.5,491,6312
2009-08,2.5–4.5,686,6998
2009-09,2.5–4.5,858,7856
2009-10,2.5–4.5,1065,8921
2009-11,2.5–4.5,1314,10235
2009-12,2.5–4.5,1503,11738
2010-01,2.5–4.5,1327,13065
2010-02,2.5–4.5,2371,15436
2010-03,2.5–4.5,3305,18741
2010-04,2.5–4.5,4030,22771
2010-05,2.5–4.5,4927,27698
2010-06,2.5–4.5,6213,33911
2010-07,2.5–4.5,7685,41596
2010-08,2.5–4.5,8449,50045
2010-09,2.5–4.5,9801,59846
2010-10,2.5–4.5,10843,70689
2010-11,2.5–4.5,13550,84239
2010-12,2.5–4.5,10651,94890
2011-01,2.5–4.5,15642,110532
2011-02,2.5–4.5,17213,127745
2011-03,2.5–4.5,21595,149340
2011-04,2.5–4.5,20671,170011
