date,mw,value
2008-07,<2.5kW',10369
2008-08,'30+ Mw',0
2008-08,'5Mw–30Mw',0
2008-08,100kW–5MW',0
2008-08,14–25kW',206
2008-08,2.5–4.5kW',2533
2008-08,25–50kW',68
2008-08,4.5–6.5kW',670
2008-08,50–100kW',163
2008-08,6.5–9.5kW',324
2008-08,9.5–14kW',262
2008-08,<2.5kW',11655
2008-09,'30+ Mw',0
2008-09,'5Mw–30Mw',0
2008-09,100kW–5MW',0
2008-09,14–25kW',206
2008-09,2.5–4.5kW',2739
2008-09,25–50kW',68
2008-09,4.5–6.5kW',806
2008-09,50–100kW',163
2008-09,6.5–9.5kW',414
2008-09,9.5–14kW',272
2008-09,<2.5kW',13094
2008-10,'30+ Mw',0
2008-10,'5Mw–30Mw',0
2008-10,100kW–5MW',0
2008-10,14–25kW',222
2008-10,2.5–4.5kW',3063
2008-10,25–50kW',98
2008-10,4.5–6.5kW',906
2008-10,50–100kW',163
2008-10,6.5–9.5kW',431
2008-10,9.5–14kW',282
2008-10,<2.5kW',15086
2008-11,'30+ Mw',0
2008-11,'5Mw–30Mw',0
2008-11,100kW–5MW',0
2008-11,14–25kW',256
2008-11,2.5–4.5kW',3339
2008-11,25–50kW',98
2008-11,4.5–6.5kW',968
2008-11,50–100kW',163
2008-11,6.5–9.5kW',439
2008-11,9.5–14kW',304
2008-11,<2.5kW',17081
2008-12,'30+ Mw',0
2008-12,'5Mw–30Mw',0
2008-12,100kW–5MW',0
2008-12,14–25kW',276
2008-12,2.5–4.5kW',3719
2008-12,25–50kW',156
2008-12,4.5–6.5kW',1090
2008-12,50–100kW',163
2008-12,6.5–9.5kW',471
2008-12,9.5–14kW',352
2008-12,<2.5kW',19395
2009-01,'30+ Mw',0
2009-01,'5Mw–30Mw',0
2009-01,100kW–5MW',0
2009-01,14–25kW',292
2009-01,2.5–4.5kW',3946
2009-01,25–50kW',156
2009-01,4.5–6.5kW',1156
2009-01,50–100kW',163
2009-01,6.5–9.5kW',486
2009-01,9.5–14kW',362
2009-01,<2.5kW',21793
2009-02,'30+ Mw',0
2009-02,'5Mw–30Mw',0
2009-02,100kW–5MW',0
2009-02,14–25kW',335
2009-02,2.5–4.5kW',4248
2009-02,25–50kW',156
2009-02,4.5–6.5kW',1250
2009-02,50–100kW',163
2009-02,6.5–9.5kW',509
2009-02,9.5–14kW',362
2009-02,<2.5kW',25084
2009-03,'30+ Mw',0
2009-03,'5Mw–30Mw',0
2009-03,100kW–5MW',0
2009-03,14–25kW',350
2009-03,2.5–4.5kW',4629
2009-03,25–50kW',156
2009-03,4.5–6.5kW',1364
2009-03,50–100kW',263
2009-03,6.5–9.5kW',518
2009-03,9.5–14kW',372
2009-03,<2.5kW',29069
2009-04,'30+ Mw',0
2009-04,'5Mw–30Mw',0
2009-04,100kW–5MW',0
2009-04,14–25kW',373
2009-04,2.5–4.5kW',5009
2009-04,25–50kW',156
2009-04,4.5–6.5kW',1545
2009-04,50–100kW',263
2009-04,6.5–9.5kW',553
2009-04,9.5–14kW',420
2009-04,<2.5kW',32873
2009-05,'30+ Mw',0
2009-05,'5Mw–30Mw',0
2009-05,100kW–5MW',0
2009-05,14–25kW',387
2009-05,2.5–4.5kW',5444
2009-05,25–50kW',212
2009-05,4.5–6.5kW',1713
2009-05,50–100kW',263
2009-05,6.5–9.5kW',601
2009-05,9.5–14kW',450
2009-05,<2.5kW',37402
2009-06,'30+ Mw',0
2009-06,'5Mw–30Mw',0
2009-06,100kW–5MW',0
2009-06,14–25kW',474
2009-06,2.5–4.5kW',5821
2009-06,25–50kW',212
2009-06,4.5–6.5kW',1862
2009-06,50–100kW',263
2009-06,6.5–9.5kW',617
2009-06,9.5–14kW',483
2009-06,<2.5kW',42204
2009-07,'30+ Mw',0
2009-07,'5Mw–30Mw',0
2009-07,100kW–5MW',0
2009-07,14–25kW',514
2009-07,2.5–4.5kW',6312
2009-07,25–50kW',246
2009-07,4.5–6.5kW',2106
2009-07,50–100kW',263
2009-07,6.5–9.5kW',662
2009-07,9.5–14kW',515
2009-07,<2.5kW',47826
2009-08,'30+ Mw',0
2009-08,'5Mw–30Mw',0
2009-08,100kW–5MW',0
2009-08,14–25kW',546
2009-08,2.5–4.5kW',6998
2009-08,25–50kW',317
2009-08,4.5–6.5kW',2292
2009-08,50–100kW',263
2009-08,6.5–9.5kW',722
2009-08,9.5–14kW',611
2009-08,<2.5kW',54031
2009-09,'30+ Mw',0
2009-09,'5Mw–30Mw',0
2009-09,100kW–5MW',0
2009-09,14–25kW',649
2009-09,2.5–4.5kW',7856
2009-09,25–50kW',446
2009-09,4.5–6.5kW',2604
2009-09,50–100kW',263
2009-09,6.5–9.5kW',755
2009-09,9.5–14kW',741
2009-09,<2.5kW',61137
2009-10,'30+ Mw',0
2009-10,'5Mw–30Mw',0
2009-10,100kW–5MW',0
2009-10,14–25kW',708
2009-10,2.5–4.5kW',8921
2009-10,25–50kW',503
2009-10,4.5–6.5kW',3030
2009-10,50–100kW',263
2009-10,6.5–9.5kW',808
2009-10,9.5–14kW',784
2009-10,<2.5kW',70155
2009-11,'30+ Mw',0
2009-11,'5Mw–30Mw',0
2009-11,100kW–5MW',0
2009-11,14–25kW',769
2009-11,2.5–4.5kW',10235
2009-11,25–50kW',503
2009-11,4.5–6.5kW',3552
2009-11,50–100kW',263
2009-11,6.5–9.5kW',897
2009-11,9.5–14kW',882
2009-11,<2.5kW',80820
2009-12,'30+ Mw',0
2009-12,'5Mw–30Mw',0
2009-12,100kW–5MW',0
2009-12,14–25kW',809
2009-12,2.5–4.5kW',11738
2009-12,25–50kW',619
2009-12,4.5–6.5kW',4076
2009-12,50–100kW',314
2009-12,6.5–9.5kW',1010
2009-12,9.5–14kW',1020
2009-12,<2.5kW',90297
2010-01,'30+ Mw',0
2010-01,'5Mw–30Mw',0
2010-01,100kW–5MW',0
2010-01,14–25kW',809
2010-01,2.5–4.5kW',13065
2010-01,25–50kW',683
2010-01,4.5–6.5kW',4543
2010-01,50–100kW',314
2010-01,6.5–9.5kW',1087
2010-01,9.5–14kW',1186
2010-01,<2.5kW',100193
2010-02,'30+ Mw',0
2010-02,'5Mw–30Mw',0
2010-02,100kW–5MW',0
2010-02,14–25kW',909
2010-02,2.5–4.5kW',15436
2010-02,25–50kW',683
2010-02,4.5–6.5kW',5240
2010-02,50–100kW',314
2010-02,6.5–9.5kW',1270
2010-02,9.5–14kW',1483
2010-02,<2.5kW',112344
2010-03,'30+ Mw',0
